,Unnamed: 0,MazeName,MazeSize,MazeAttempt,MazeNPossibleWalls,MazeNWalls,MazeShortestPath,RobotExpMode,RobotIteration,RobotRun0Moves,RobotRun1Moves,RobotRun0Known,RobotRun1Known,RobotKnownWalls,RobotPercWallsDisc,RobotPercMazeDiscRun0,RobotScore,Run1Effectiveness,ScoreEffectiveness
11090,11090,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,0,47,6,145,145,87,0.5028901734104047,0.34523809523809523,7.566666666666666,1.0,1.261111111111111
11091,11091,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,1,67,6,220,225,113,0.6531791907514449,0.5238095238095238,8.233333333333334,1.0,1.3722222222222225
11092,11092,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,2,62,6,194,199,107,0.6184971098265896,0.4619047619047619,8.066666666666666,1.0,1.3444444444444443
11093,11093,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,3,47,6,145,145,87,0.5028901734104047,0.34523809523809523,7.566666666666666,1.0,1.261111111111111
11094,11094,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,4,39,14,107,138,87,0.5028901734104047,0.25476190476190474,15.3,2.3333333333333335,2.5500000000000003
11095,11095,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,5,39,30,116,202,109,0.630057803468208,0.2761904761904762,31.3,5.0,5.216666666666667
11096,11096,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,6,39,14,107,138,87,0.5028901734104047,0.25476190476190474,15.3,2.3333333333333335,2.5500000000000003
11097,11097,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,7,38,14,114,139,85,0.4913294797687861,0.2714285714285714,15.266666666666666,2.3333333333333335,2.5444444444444443
11098,11098,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,8,39,14,107,138,87,0.5028901734104047,0.25476190476190474,15.3,2.3333333333333335,2.5500000000000003
11099,11099,.\validrandommaze\ran_14_5_177437.txt,14,5,420,173,6,5,9,65,6,207,212,110,0.6358381502890174,0.4928571428571429,8.166666666666666,1.0,1.361111111111111
